hour,day_of_week,month,is_weekend,is_holiday,weather_code,road_type_enc,road_type,incident,base_capacity,congestion_pct,travel_mult
0,0,1,0,0,0,0,highway,0,100,7.4,1.111
0,0,1,0,0,0,1,city,0,70,9.5,1.143
0,0,1,0,0,0,2,bypass,0,85,11.6,1.175
1,0,1,0,0,2,0,highway,0,100,2.0,1.04
1,0,1,0,0,2,1,city,0,70,7.4,1.15
1,0,1,0,0,2,2,bypass,0,85,6.6,1.135
2,0,1,0,0,1,0,highway,1,100,15.5,1.244
2,0,1,0,0,1,1,city,1,70,14.5,1.228
2,0,1,0,0,1,2,bypass,1,85,14.4,1.227
3,0,1,0,0,0,0,highway,0,100,5.7,1.085
3,0,1,0,0,0,1,city,0,70,7.0,1.105
3,0,1,0,0,0,2,bypass,0,85,5.1,1.076
4,0,1,0,0,0,0,highway,0,100,5.7,1.086
4,0,1,0,0,0,1,city,0,70,15.2,1.229
4,0,1,0,0,0,2,bypass,0,85,14.9,1.223
5,0,1,0,0,0,0,highway,0,100,8.8,1.132
5,0,1,0,0,0,1,city,0,70,10.8,1.161
5,0,1,0,0,0,2,bypass,0,85,3.2,1.049
6,0,1,0,0,0,0,highway,0,100,47.5,1.712
6,0,1,0,0,0,1,city,0,70,59.9,1.898
6,0,1,0,0,0,2,bypass,0,85,44.1,1.661
7,0,1,0,0,3,0,highway,0,100,48.2,2.121
7,0,1,0,0,3,1,city,0,70,57.4,2.334
7,0,1,0,0,3,2,bypass,0,85,39.9,1.927
8,0,1,0,0,1,0,highway,0,100,86.4,2.36
8,0,1,0,0,1,1,city,0,70,95.3,2.5
8,0,1,0,0,1,2,bypass,0,85,76.0,2.197
9,0,1,0,0,3,0,highway,0,100,98.0,3.279
9,0,1,0,0,3,1,city,0,70,96.1,3.235
9,0,1,0,0,3,2,bypass,0,85,95.8,3.228
10,0,1,0,0,0,0,highway,0,100,80.6,2.208
10,0,1,0,0,0,1,city,0,70,90.6,2.359
10,0,1,0,0,0,2,bypass,0,85,66.1,1.991
11,0,1,0,0,2,0,highway,0,100,36.0,1.729
11,0,1,0,0,2,1,city,0,70,42.2,1.855
11,0,1,0,0,2,2,bypass,0,85,34.3,1.696
12,0,1,0,0,1,0,highway,0,100,76.1,2.198
12,0,1,0,0,1,1,city,0,70,81.3,2.281
12,0,1,0,0,1,2,bypass,0,85,60.2,1.948
13,0,1,0,0,0,0,highway,1,100,71.6,2.074
13,0,1,0,0,0,1,city,1,70,79.8,2.197
13,0,1,0,0,0,2,bypass,1,85,65.4,1.98
